Year,Brand,Category,Region,Price (USD),Sales Volume,Revenue (USD),Customer Age Group,Customer Gender,Net Worth (USD),GDP per Capita,Inflation Rate (%),Income Level,Social Media Likes,Social Media Shares,Social Media Mentions,Sentiment Score
2020,Rolex,Clothing,Middle East,2365.46,126,298047.96,55+,Male,2071314.88,30000,3.0,High,27189,541,370,0.73
2023,Dior,Shoes,South America,1206.16,83,100111.28,55+,Female,23150.43,12000,5.5,Medium,29715,4471,1294,0.72
2019,Louis Vuitton,Perfumes,Europe,450.5,498,224349.0,18-24,Female,3768414.48,45000,2.5,High,17433,2881,1258,0.9
2020,Rolex,Shoes,Australia,981.29,190,186445.1,45-54,Female,3111046.19,55000,2.0,High,11569,497,225,0.98
2023,Louis Vuitton,Perfumes,Asia,312.61,242,75651.62,25-34,Non-binary,5532.41,15000,4.0,Medium,30603,3925,182,0.85
2020,Dior,Bags,North America,3329.9,175,582732.5,25-34,Female,3899868.26,65000,3.5,High,9910,848,1993,0.54
2020,Rolex,Shoes,Asia,2220.49,79,175418.71,18-24,Female,711260.33,15000,4.0,Medium,28210,3906,2929,0.73
2020,Dior,Clothing,Asia,2140.92,218,466720.56,35-44,Female,31476.37,15000,4.0,Medium,15254,4473,2108,0.78
2022,Gucci,Bags,Europe,4032.64,339,1367064.96,18-24,Male,3959952.06,45000,2.5,High,30578,3288,200,0.54
2022,Gucci,Clothing,Middle East,2987.56,284,848467.04,35-44,Male,2482075.22,30000,3.0,High,8303,1413,1486,0.79
2019,Gucci,Accessories,North America,1142.0,261,298062.0,18-24,Non-binary,4860253.03,65000,3.5,High,17264,2960,2316,0.65
2018,Dior,Watches,Europe,8448.7,40,337948.0,55+,Non-binary,4795971.22,45000,2.5,High,19766,4901,1073,0.62
2021,Rolex,Clothing,Middle East,2037.2,235,478742.0,18-24,Non-binary,3709573.99,30000,3.0,High,42930,1276,294,0.9
2023,Gucci,Shoes,South America,2128.59,404,859950.36,25-34,Female,3959296.26,12000,5.5,Medium,22401,3305,772,0.73
2019,Louis Vuitton,Clothing,North America,2408.37,74,178219.38,45-54,Male,3325847.07,65000,3.5,High,16460,4069,1789,0.57
2018,Gucci,Perfumes,Middle East,167.8,101,16947.8,45-54,Male,4781200.88,30000,3.0,High,47313,2395,1865,0.75
2022,Louis Vuitton,Shoes,Asia,2314.9,178,412052.2,25-34,Female,4613274.26,15000,4.0,Medium,20359,2121,2748,0.52
2018,Chanel,Bags,South America,4734.88,153,724436.64,55+,Male,578791.63,12000,5.5,Medium,35089,2162,356,0.8
2023,Gucci,Bags,Europe,3853.66,185,712927.1,55+,Male,26427.86,45000,2.5,High,43796,2744,1332,0.88
2022,Louis Vuitton,Bags,Asia,3518.75,373,1312493.75,55+,Male,657506.67,15000,4.0,Medium,28090,2861,1540,0.7
2018,Chanel,Clothing,Australia,1776.08,494,877383.52,55+,Non-binary,139130.71,55000,2.0,High,9192,3855,1825,0.86
2022,Chanel,Watches,South America,13092.47,16,209479.52,25-34,Female,3141511.67,12000,5.5,Medium,9025,3885,554,0.94
2021,Rolex,Clothing,South America,2626.85,67,175998.95,35-44,Female,4664535.72,12000,5.5,Medium,29327,4136,2527,0.74
2019,Chanel,Bags,South America,2267.81,318,721163.58,25-34,Male,1687561.36,12000,5.5,Medium,8793,1727,2736,0.64
2019,Rolex,Accessories,Middle East,1141.75,238,271736.5,35-44,Female,5960.75,30000,3.0,High,12778,2507,647,0.77
2020,Louis Vuitton,Bags,Middle East,2965.73,429,1272298.17,55+,Female,699585.15,30000,3.0,High,19099,2305,791,0.77
2021,Rolex,Watches,Middle East,10413.59,27,281166.93,18-24,Female,3547657.32,30000,3.0,High,15573,4459,2802,0.57
2021,Gucci,Watches,South America,21880.31,33,722050.23,35-44,Female,1272776.16,12000,5.5,Medium,24289,3759,1521,0.69
2019,Dior,Watches,South America,14222.86,9,128005.74,18-24,Non-binary,9839.46,12000,5.5,Medium,43632,3898,2624,0.57
2021,Louis Vuitton,Clothing,Asia,2112.06,399,842711.94,45-54,Non-binary,19211.89,15000,4.0,Medium,9156,1120,462,0.68
2019,Louis Vuitton,Shoes,Asia,2930.63,339,993483.57,35-44,Male,12103.84,15000,4.0,Medium,10629,4392,2305,0.77
2022,Dior,Shoes,South America,2901.91,320,928611.2,18-24,Female,1415596.84,12000,5.5,Medium,47940,2120,379,0.9
2023,Rolex,Bags,North America,2803.4,237,664405.8,35-44,Female,48173.16,65000,3.5,High,17241,2104,1474,0.76
2022,Dior,Watches,Europe,9758.97,31,302528.07,45-54,Female,582266.13,45000,2.5,High,18162,959,579,0.71
2021,Louis Vuitton,Bags,South America,1807.72,314,567624.08,45-54,Male,914710.39,12000,5.5,Medium,31087,3695,511,1.0
2021,Chanel,Bags,North America,4433.92,436,1933189.12,55+,Female,2334685.0,65000,3.5,High,6137,3849,2740,0.78
2023,Louis Vuitton,Clothing,Europe,1754.15,368,645527.2,45-54,Male,2843229.06,45000,2.5,High,27489,2375,1386,0.62
2021,Gucci,Clothing,Middle East,1114.54,156,173868.24,18-24,Female,2871332.11,30000,3.0,High,28560,2332,2458,0.61
2019,Gucci,Shoes,Asia,1590.94,348,553647.12,18-24,Female,46401.48,15000,4.0,Medium,41908,3056,1135,0.85
2021,Gucci,Bags,Asia,2930.96,256,750325.76,18-24,Female,1450276.25,15000,4.0,Medium,28977,4619,2530,0.88
2022,Gucci,Shoes,Asia,2297.49,343,788039.07,25-34,Female,4693668.31,15000,4.0,Medium,18416,2355,915,0.65
2019,Louis Vuitton,Clothing,Middle East,2931.71,70,205219.7,25-34,Male,252754.72,30000,3.0,High,32973,1617,1136,0.86
2023,Dior,Clothing,South America,1201.48,114,136968.72,55+,Male,2103169.25,12000,5.5,Medium,7542,2567,249,0.68
2021,Louis Vuitton,Watches,South America,22626.66,15,339399.9,55+,Male,3846242.13,12000,5.5,Medium,39734,4165,1816,0.68
2019,Dior,Accessories,North America,1338.06,415,555294.9,25-34,Non-binary,2043341.68,65000,3.5,High,5566,1182,1431,0.54
2023,Dior,Watches,Middle East,10578.85,9,95209.65,25-34,Male,10351.85,30000,3.0,High,12107,2236,2440,0.92
2019,Dior,Watches,North America,19305.07,5,96525.35,45-54,Male,3548642.16,65000,3.5,High,7228,2035,1568,0.95
2020,Dior,Clothing,South America,1178.81,374,440874.94,18-24,Female,4584183.05,12000,5.5,Medium,39516,4848,92,0.57
2018,Rolex,Watches,North America,8019.56,34,272665.04,35-44,Non-binary,3124508.11,65000,3.5,High,1883,1044,832,0.63
2021,Dior,Bags,Asia,3795.04,205,777983.2,25-34,Male,2924152.59,15000,4.0,Medium,23976,3619,2697,0.66
2018,Dior,Clothing,Middle East,2870.48,209,599930.32,45-54,Male,4531857.09,30000,3.0,High,1507,3975,633,0.67
2020,Louis Vuitton,Accessories,South America,737.31,334,246261.54,18-24,Female,2077297.06,12000,5.5,Medium,49464,4571,2626,0.99
2020,Chanel,Watches,Australia,17155.44,13,223020.72,18-24,Non-binary,42893.37,55000,2.0,High,10223,3600,848,0.5
2018,Rolex,Bags,Asia,3992.93,129,515087.97,18-24,Male,3632571.97,15000,4.0,Medium,13310,888,2161,0.87
2020,Dior,Clothing,South America,1851.31,125,231413.75,55+,Female,3298230.23,12000,5.5,Medium,41764,2628,1270,0.86
2018,Rolex,Perfumes,Asia,479.96,410,196783.6,18-24,Non-binary,4304359.0,15000,4.0,Medium,44570,3730,1996,0.83
2020,Gucci,Shoes,North America,1020.03,358,365170.74,35-44,Non-binary,2901854.11,65000,3.5,High,38297,1511,593,0.91
2020,Louis Vuitton,Accessories,South America,1894.82,93,176218.26,55+,Non-binary,4615476.6,12000,5.5,Medium,25188,445,2255,0.8
2023,Louis Vuitton,Perfumes,Middle East,124.72,54,6734.88,18-24,Female,3445312.85,30000,3.0,High,6973,1849,1070,0.79
2023,Dior,Shoes,South America,1326.72,149,197681.28,35-44,Male,22988.78,12000,5.5,Medium,7020,4739,1308,0.81
2019,Chanel,Watches,Middle East,13757.46,26,357693.96,55+,Non-binary,290811.93,30000,3.0,High,20454,4079,1737,0.57
2021,Dior,Shoes,South America,1397.15,383,535108.45,35-44,Male,2854651.58,12000,5.5,Medium,44280,4920,2194,0.67
2021,Gucci,Watches,Middle East,6234.52,5,31172.6,25-34,Non-binary,2017113.72,30000,3.0,High,20215,2266,758,0.69
2022,Gucci,Watches,Europe,21302.85,40,852114.0,25-34,Non-binary,3984048.87,45000,2.5,High,45372,2688,1267,0.67
2020,Gucci,Accessories,Middle East,307.16,410,125935.6,25-34,Non-binary,20949.56,30000,3.0,High,33403,2202,385,0.99
2020,Chanel,Accessories,North America,1555.46,362,563076.52,35-44,Male,381665.8,65000,3.5,High,25252,3438,1370,0.73
2022,Rolex,Watches,Asia,14048.58,19,266923.02,55+,Female,2679288.57,15000,4.0,Medium,37556,4424,99,0.83
2021,Louis Vuitton,Perfumes,Australia,265.09,111,29424.99,55+,Female,2341766.59,55000,2.0,High,21196,2839,2967,0.97
2020,Rolex,Perfumes,South America,409.3,480,196464.0,55+,Non-binary,5310.07,12000,5.5,Medium,4649,731,2676,0.65
2018,Louis Vuitton,Accessories,Europe,756.44,426,322243.44,25-34,Female,4854829.05,45000,2.5,High,25670,4991,492,0.76
2018,Dior,Shoes,North America,1443.23,466,672545.18,45-54,Female,1452553.95,65000,3.5,High,5620,3553,2450,0.88
2021,Louis Vuitton,Accessories,South America,796.69,453,360900.57,25-34,Non-binary,971239.72,12000,5.5,Medium,29429,3848,654,0.82
2020,Rolex,Accessories,Australia,1047.36,241,252413.76,55+,Female,4600897.17,55000,2.0,High,24491,4174,1855,0.54
2022,Gucci,Watches,South America,23706.68,49,1161627.32,18-24,Female,2424840.57,12000,5.5,Medium,19185,3605,2010,0.79
2019,Chanel,Perfumes,Asia,103.71,468,48536.28,25-34,Male,1436053.22,15000,4.0,Medium,11259,3438,2376,0.93
2023,Gucci,Perfumes,South America,339.57,134,45502.38,35-44,Non-binary,547349.68,12000,5.5,Medium,27642,3849,2835,0.59
2020,Dior,Bags,Middle East,2981.67,251,748399.17,18-24,Male,2568483.28,30000,3.0,High,10490,687,1215,0.76
2018,Chanel,Shoes,South America,2587.81,397,1027360.57,25-34,Female,1848203.0,12000,5.5,Medium,42067,2393,1268,0.68
2021,Chanel,Shoes,Australia,1916.31,231,442667.61,35-44,Male,1166266.1,55000,2.0,High,32560,4172,1922,0.81
2023,Louis Vuitton,Accessories,Middle East,1359.75,428,581973.0,18-24,Non-binary,749987.32,30000,3.0,High,8802,1560,1693,0.71
2018,Chanel,Watches,North America,7264.06,47,341410.82,35-44,Male,3621614.04,65000,3.5,High,23034,1257,2840,0.64
2021,Gucci,Clothing,Europe,2816.05,341,960273.05,55+,Male,460357.45,45000,2.5,High,4615,1929,1735,0.52
2022,Dior,Perfumes,South America,417.56,310,129443.6,45-54,Female,344568.71,12000,5.5,Medium,24607,506,1420,0.77
2023,Dior,Watches,Middle East,18147.78,37,671467.86,18-24,Male,3258466.76,30000,3.0,High,4339,1678,781,0.63
2019,Chanel,Shoes,Middle East,1903.54,197,374997.38,25-34,Female,44158.23,30000,3.0,High,5667,1764,849,0.69
2019,Louis Vuitton,Clothing,Australia,2653.41,151,400664.91,18-24,Female,4756888.46,55000,2.0,High,29480,2062,1669,0.69
2021,Gucci,Clothing,North America,658.89,247,162745.83,25-34,Non-binary,4752966.67,65000,3.5,High,42155,3506,198,0.92
2020,Chanel,Bags,South America,3977.37,50,198868.5,25-34,Non-binary,347114.85,12000,5.5,Medium,39473,882,876,0.81
2018,Rolex,Clothing,North America,1767.0,324,572508.0,45-54,Non-binary,4679587.7,65000,3.5,High,48161,2805,2283,0.88
2019,Louis Vuitton,Bags,Europe,4699.41,348,1635394.68,35-44,Female,2675732.85,45000,2.5,High,12743,582,1815,0.52
2021,Gucci,Bags,Europe,2892.4,187,540878.8,35-44,Female,1811300.11,45000,2.5,High,41549,3626,2937,0.67
2018,Gucci,Bags,North America,2834.55,395,1119647.25,45-54,Male,3019031.74,65000,3.5,High,15943,2566,2960,0.92
2018,Gucci,Accessories,Australia,972.12,99,96239.88,45-54,Non-binary,1157034.06,55000,2.0,High,9014,1760,595,0.86
2022,Rolex,Watches,South America,24436.66,36,879719.76,35-44,Non-binary,2504313.4,12000,5.5,Medium,6177,3766,1101,0.51
2019,Gucci,Bags,Middle East,4036.93,310,1251448.3,45-54,Female,2444593.72,30000,3.0,High,34480,1118,482,0.95
2018,Dior,Bags,Middle East,4970.66,68,338004.88,18-24,Female,903300.87,30000,3.0,High,49179,823,792,0.81
2021,Dior,Watches,South America,5721.27,31,177359.37,35-44,Female,38063.48,12000,5.5,Medium,27801,3797,2183,0.9
2020,Rolex,Shoes,North America,1202.7,482,579701.4,35-44,Male,17632.3,65000,3.5,High,7615,2112,2957,0.68
2018,Rolex,Perfumes,Europe,223.55,253,56558.15,18-24,Female,2972138.06,45000,2.5,High,37823,4203,1562,0.99
2022,Rolex,Shoes,Middle East,2138.76,256,547522.56,55+,Male,1712589.08,30000,3.0,High,38889,2521,2409,0.9
2023,Louis Vuitton,Watches,Asia,16789.82,13,218267.66,35-44,Female,2132783.83,15000,4.0,Medium,30343,4044,726,0.6
2022,Dior,Watches,North America,8875.84,12,106510.08,18-24,Non-binary,3621624.0,65000,3.5,High,28022,991,2019,0.95
2022,Rolex,Bags,Australia,3852.54,326,1255928.04,35-44,Male,4572071.72,55000,2.0,High,28201,1245,2317,0.71
2019,Chanel,Watches,Australia,22151.56,27,598092.12,55+,Female,4200383.43,55000,2.0,High,24693,4093,2853,0.87
2023,Rolex,Bags,Asia,3359.31,225,755844.75,35-44,Female,4281126.43,15000,4.0,Medium,33605,3750,953,0.98
2020,Dior,Shoes,Europe,2909.36,339,986273.04,45-54,Male,4663376.08,45000,2.5,High,44225,3829,2723,0.9
2018,Louis Vuitton,Watches,Australia,6613.24,26,171944.24,35-44,Male,43375.01,55000,2.0,High,22878,1827,883,0.82
2018,Rolex,Clothing,Asia,890.97,492,438357.24,18-24,Female,1362339.45,15000,4.0,Medium,29206,4458,1365,0.72
2021,Rolex,Perfumes,South America,190.58,99,18867.42,55+,Non-binary,2445719.32,12000,5.5,Medium,23097,3778,2583,0.64
2018,Dior,Perfumes,Europe,336.1,218,73269.8,25-34,Non-binary,220086.38,45000,2.5,High,26367,1622,1282,0.69
2019,Dior,Watches,Australia,19179.6,19,364412.4,25-34,Female,2742382.55,55000,2.0,High,5564,1672,334,0.53
2019,Dior,Perfumes,Australia,480.79,176,84619.04,25-34,Female,39700.62,55000,2.0,High,25318,495,859,0.81
2020,Dior,Accessories,Australia,961.85,407,391472.95,25-34,Non-binary,31014.85,55000,2.0,High,14464,1454,765,0.52
2022,Gucci,Accessories,Asia,1098.83,386,424148.38,25-34,Non-binary,1206009.58,15000,4.0,Medium,8224,2226,2420,0.95
2023,Rolex,Accessories,South America,603.46,398,240177.08,18-24,Male,766100.53,12000,5.5,Medium,8372,3446,79,0.76
2022,Rolex,Bags,North America,2921.41,373,1089685.93,18-24,Female,42232.08,65000,3.5,High,29979,2261,1257,0.64
2019,Gucci,Accessories,Middle East,490.12,206,100964.72,18-24,Male,3477700.36,30000,3.0,High,37053,4012,1801,0.97
2018,Louis Vuitton,Perfumes,Asia,443.51,425,188491.75,35-44,Non-binary,1389316.82,15000,4.0,Medium,44512,4681,301,0.91
2019,Gucci,Shoes,Australia,1665.09,277,461229.93,18-24,Non-binary,29084.92,55000,2.0,High,29943,353,1677,0.99
2018,Dior,Watches,Europe,23429.33,9,210863.97,25-34,Female,14686.29,45000,2.5,High,14739,3694,2547,0.56
2020,Louis Vuitton,Perfumes,Middle East,185.11,469,86816.59,45-54,Female,37966.65,30000,3.0,High,24852,4910,1273,0.92
2022,Dior,Watches,South America,10067.53,31,312093.43,35-44,Non-binary,46502.11,12000,5.5,Medium,36191,2176,2837,0.57
2022,Dior,Clothing,Europe,1737.27,425,738339.75,18-24,Non-binary,3519678.2,45000,2.5,High,41813,3786,1898,0.56
2019,Rolex,Perfumes,Asia,385.23,343,132133.89,45-54,Non-binary,17254.69,15000,4.0,Medium,10526,1010,1264,0.77
2021,Gucci,Bags,Middle East,4521.69,115,519994.35,45-54,Male,570988.92,30000,3.0,High,17762,1209,2310,0.55
2018,Chanel,Perfumes,South America,204.53,412,84266.36,45-54,Non-binary,1826452.92,12000,5.5,Medium,17528,2605,2217,0.86
2020,Louis Vuitton,Shoes,Europe,1695.43,170,288223.1,35-44,Non-binary,3310154.51,45000,2.5,High,21704,1308,1502,0.93
2020,Louis Vuitton,Accessories,Australia,751.73,437,328506.01,35-44,Male,3414326.38,55000,2.0,High,22785,4659,2049,0.79
2021,Louis Vuitton,Watches,Asia,6328.31,35,221490.85,35-44,Non-binary,3613949.56,15000,4.0,Medium,26220,4039,614,0.59
2022,Louis Vuitton,Shoes,Europe,1173.61,95,111492.95,18-24,Male,2303511.87,45000,2.5,High,18815,2440,1324,0.86
2019,Rolex,Clothing,North America,2867.39,316,906095.24,45-54,Non-binary,2533622.55,65000,3.5,High,12134,3773,2288,0.96
2022,Chanel,Bags,Europe,1535.79,323,496060.17,18-24,Non-binary,3174759.69,45000,2.5,High,35015,370,2165,0.55
2022,Dior,Perfumes,Europe,300.77,273,82110.21,25-34,Non-binary,2192575.66,45000,2.5,High,41964,1634,464,0.92
2019,Chanel,Clothing,Middle East,2550.39,315,803372.85,18-24,Non-binary,4403646.34,30000,3.0,High,17041,4205,850,0.7
2020,Dior,Perfumes,North America,442.02,190,83983.8,35-44,Female,2549159.23,65000,3.5,High,26359,4778,335,0.65
2018,Gucci,Bags,Asia,3845.39,69,265331.91,45-54,Non-binary,4851819.06,15000,4.0,Medium,23145,1684,1570,0.63
2021,Louis Vuitton,Watches,Asia,6695.61,40,267824.4,18-24,Male,35281.0,15000,4.0,Medium,40869,3347,156,0.95
2021,Rolex,Shoes,South America,1208.15,107,129272.05,18-24,Female,2847336.47,12000,5.5,Medium,45049,1584,2938,0.91
2023,Dior,Bags,Europe,4634.92,381,1765904.52,45-54,Male,14461.36,45000,2.5,High,19009,1876,937,0.54
2019,Gucci,Accessories,North America,766.54,311,238393.94,55+,Male,1740209.01,65000,3.5,High,42096,2208,2368,0.83
2021,Rolex,Accessories,Australia,797.04,261,208027.44,18-24,Male,2175052.23,55000,2.0,High,18107,4098,2750,0.98
2019,Chanel,Watches,Europe,17353.73,16,277659.68,25-34,Male,3706379.0,45000,2.5,High,37229,687,994,0.58
2023,Louis Vuitton,Bags,South America,3750.53,151,566330.03,25-34,Male,633999.7,12000,5.5,Medium,38429,250,1703,0.57
2023,Louis Vuitton,Clothing,Europe,1827.56,179,327133.24,55+,Female,11406.34,45000,2.5,High,34637,557,1291,0.79
2022,Dior,Perfumes,North America,444.55,105,46677.75,25-34,Female,1351095.21,65000,3.5,High,5794,2953,2616,0.52
2021,Dior,Perfumes,Middle East,172.34,283,48772.22,18-24,Female,2430985.11,30000,3.0,High,8501,2343,609,0.54
2019,Dior,Accessories,Asia,1107.45,189,209308.05,18-24,Non-binary,4853451.55,15000,4.0,Medium,7224,2742,2907,0.93
2023,Gucci,Accessories,North America,1048.67,251,263216.17,55+,Male,2287826.5,65000,3.5,High,29746,907,802,0.61
2019,Dior,Accessories,Asia,1695.55,64,108515.2,25-34,Female,3616247.96,15000,4.0,Medium,24206,1860,2160,0.91
2019,Chanel,Clothing,North America,2597.41,140,363637.4,45-54,Female,492302.43,65000,3.5,High,9713,1204,2869,0.51
2020,Chanel,Clothing,Australia,1784.85,167,298069.95,45-54,Female,17465.68,55000,2.0,High,29374,1220,779,0.8
2020,Dior,Watches,Middle East,5244.54,45,236004.3,45-54,Male,3581494.48,30000,3.0,High,45404,4689,2615,0.97
2021,Dior,Clothing,Middle East,2695.88,247,665882.36,18-24,Male,4262670.38,30000,3.0,High,37049,2221,310,0.96
2021,Rolex,Shoes,Asia,2581.1,445,1148589.5,25-34,Female,40629.01,15000,4.0,Medium,10761,4478,1725,0.56
2018,Chanel,Clothing,Middle East,1006.78,168,169139.04,45-54,Non-binary,3445868.65,30000,3.0,High,22923,3414,1440,0.76
2018,Chanel,Watches,Asia,7384.34,21,155071.14,35-44,Female,2582964.06,15000,4.0,Medium,44045,3013,2240,0.79
2021,Rolex,Clothing,North America,1166.06,216,251868.96,18-24,Male,3718860.92,65000,3.5,High,12670,3697,1171,0.73
2018,Gucci,Shoes,Middle East,2789.24,405,1129642.2,55+,Non-binary,41962.12,30000,3.0,High,9205,1415,1308,0.9
2018,Rolex,Perfumes,Europe,292.67,296,86630.32,55+,Female,1776374.04,45000,2.5,High,27781,1364,2492,0.98
2018,Louis Vuitton,Watches,Australia,18473.34,15,277100.1,45-54,Male,891284.31,55000,2.0,High,11271,4282,757,0.51
2018,Rolex,Clothing,Asia,1979.83,485,960217.55,25-34,Male,4743345.44,15000,4.0,Medium,26262,4995,1970,0.75
2019,Rolex,Bags,South America,3311.15,212,701963.8,18-24,Female,37435.2,12000,5.5,Medium,27414,3100,2586,0.86
2020,Dior,Accessories,Europe,1417.38,472,669003.36,18-24,Male,3072268.42,45000,2.5,High,13756,4037,1792,0.92
2019,Rolex,Clothing,North America,1311.52,262,343618.24,55+,Male,184939.31,65000,3.5,High,31817,1935,2307,0.66
2020,Chanel,Accessories,North America,1830.81,356,651768.36,45-54,Male,4991872.0,65000,3.5,High,27076,1307,1870,0.86
2019,Louis Vuitton,Perfumes,Europe,151.13,303,45792.39,55+,Male,2583047.4,45000,2.5,High,31679,4070,1449,0.58
2023,Chanel,Bags,South America,3203.19,299,957753.81,25-34,Male,3702801.07,12000,5.5,Medium,38122,3143,1079,0.63
2020,Rolex,Perfumes,South America,157.64,314,49498.96,35-44,Non-binary,1917062.46,12000,5.5,Medium,30495,2456,2058,0.63
2022,Gucci,Clothing,South America,1312.22,271,355611.62,45-54,Non-binary,240686.66,12000,5.5,Medium,38963,3414,348,0.99
2019,Chanel,Accessories,Asia,360.78,73,26336.94,55+,Female,4985925.29,15000,4.0,Medium,8470,4100,295,0.61
2019,Gucci,Accessories,Asia,1532.93,117,179352.81,35-44,Female,680029.56,15000,4.0,Medium,27096,2025,1743,0.7
2020,Dior,Bags,Australia,3142.07,108,339343.56,18-24,Female,3411746.79,55000,2.0,High,37516,4178,1655,0.75
2021,Rolex,Shoes,North America,1128.27,217,244834.59,25-34,Female,2841310.98,65000,3.5,High,17750,4071,753,0.74
2019,Louis Vuitton,Bags,North America,2111.65,224,473009.6,35-44,Male,41725.83,65000,3.5,High,47404,4503,2147,0.89
2020,Chanel,Watches,Middle East,19824.88,16,317198.08,35-44,Non-binary,2074064.54,30000,3.0,High,41456,3563,2779,0.95
2019,Dior,Clothing,Europe,2932.19,275,806352.25,55+,Non-binary,3107657.05,45000,2.5,High,33941,2172,1473,0.71
2019,Gucci,Clothing,Australia,649.4,127,82473.8,45-54,Non-binary,4901458.43,55000,2.0,High,17586,4452,1850,0.83
2023,Chanel,Watches,North America,10633.11,15,159496.65,45-54,Non-binary,249677.89,65000,3.5,High,32201,3130,891,0.7
2022,Chanel,Perfumes,North America,337.24,61,20571.64,45-54,Female,4120372.37,65000,3.5,High,21147,3243,2782,0.99
2020,Chanel,Bags,Asia,1867.91,86,160640.26,45-54,Non-binary,1563792.5,15000,4.0,Medium,2748,2207,1436,0.52
2020,Dior,Clothing,Asia,1140.09,165,188114.85,25-34,Non-binary,1851791.73,15000,4.0,Medium,46719,863,714,0.96
2023,Louis Vuitton,Accessories,Australia,1279.1,445,569199.5,18-24,Female,9525.34,55000,2.0,High,43449,1464,1057,0.83
2019,Louis Vuitton,Watches,Asia,18567.47,13,241377.11,55+,Female,49529.45,15000,4.0,Medium,21507,4692,2346,0.61
2023,Gucci,Bags,Australia,2378.2,284,675408.8,35-44,Male,4571085.58,55000,2.0,High,20496,4697,1943,0.75
2019,Dior,Watches,South America,15565.45,26,404701.7,18-24,Female,3370539.47,12000,5.5,Medium,29935,2332,1823,0.77
2018,Rolex,Clothing,Australia,2650.03,366,969910.98,45-54,Female,1913771.72,55000,2.0,High,27372,2176,2881,0.97
2020,Chanel,Perfumes,Asia,242.53,338,81975.14,18-24,Male,31073.91,15000,4.0,Medium,38668,390,2123,0.53
2021,Gucci,Clothing,Asia,929.81,217,201768.77,25-34,Female,2733854.01,15000,4.0,Medium,19795,136,383,0.88
2018,Dior,Accessories,Australia,1325.78,296,392430.88,25-34,Non-binary,5112.61,55000,2.0,High,9756,2260,2157,0.98
2021,Dior,Bags,South America,3796.87,222,842905.14,18-24,Male,14728.55,12000,5.5,Medium,22771,936,1527,0.56
2020,Chanel,Shoes,South America,1960.21,397,778203.37,45-54,Female,19132.29,12000,5.5,Medium,30648,3789,1824,0.54
2022,Dior,Perfumes,Australia,343.65,338,116153.7,55+,Male,1865218.41,55000,2.0,High,42654,367,876,0.91
2023,Dior,Watches,South America,20138.66,36,724991.76,18-24,Female,4086312.07,12000,5.5,Medium,18135,2002,1035,0.64
2018,Chanel,Clothing,North America,2912.06,324,943507.44,25-34,Non-binary,2004317.76,65000,3.5,High,25070,2208,1749,0.75
2022,Chanel,Watches,South America,21222.23,22,466889.06,55+,Female,2045999.43,12000,5.5,Medium,33638,4839,237,0.82
2022,Gucci,Bags,Asia,4882.45,71,346653.95,35-44,Male,2375425.61,15000,4.0,Medium,23819,4173,611,0.59
2022,Gucci,Accessories,Europe,1183.89,482,570634.98,45-54,Female,32486.86,45000,2.5,High,38137,2822,249,0.78
2023,Rolex,Clothing,Middle East,1518.4,205,311272.0,35-44,Female,4302831.32,30000,3.0,High,24831,4548,2965,0.91
2023,Chanel,Clothing,Australia,2826.31,77,217625.87,25-34,Male,1145621.29,55000,2.0,High,35124,4640,665,0.63
2018,Chanel,Bags,South America,3701.81,219,810696.39,45-54,Female,2434814.3,12000,5.5,Medium,14575,1341,626,0.51
2022,Louis Vuitton,Watches,Australia,20373.93,19,387104.67,35-44,Female,3943594.55,55000,2.0,High,4172,4848,689,0.61
2019,Dior,Clothing,South America,1169.21,247,288794.87,45-54,Non-binary,603315.55,12000,5.5,Medium,18774,3603,2891,0.62
2019,Rolex,Perfumes,Australia,254.19,409,103963.71,18-24,Male,2161454.62,55000,2.0,High,5670,1262,692,0.55
2019,Dior,Watches,North America,22845.02,37,845265.74,35-44,Male,698699.11,65000,3.5,High,27520,3924,489,0.85
2020,Chanel,Perfumes,Asia,259.6,434,112666.4,55+,Non-binary,247099.88,15000,4.0,Medium,24263,2454,2953,0.84
2019,Rolex,Bags,Asia,4637.97,303,1405304.91,55+,Non-binary,4485937.41,15000,4.0,Medium,12840,450,420,0.89
2022,Gucci,Perfumes,Asia,282.43,139,39257.77,25-34,Non-binary,2512037.07,15000,4.0,Medium,14466,960,1194,0.55
2021,Dior,Accessories,Australia,1920.16,259,497321.44,25-34,Female,2156907.8,55000,2.0,High,25253,4384,2827,0.65
2022,Gucci,Clothing,South America,765.47,419,320731.93,55+,Female,2307444.01,12000,5.5,Medium,45970,4230,1343,0.87
2022,Louis Vuitton,Bags,Asia,3685.4,372,1370968.8,35-44,Male,715467.71,15000,4.0,Medium,11654,854,2360,0.5
2020,Rolex,Watches,North America,16686.57,17,283671.69,25-34,Non-binary,1177625.21,65000,3.5,High,29576,2863,2683,0.52
2020,Chanel,Watches,Australia,23177.67,7,162243.69,45-54,Non-binary,4527608.78,55000,2.0,High,44934,3208,1866,0.68
2019,Dior,Accessories,Australia,1757.09,191,335604.19,18-24,Male,3521755.28,55000,2.0,High,16938,332,1761,0.98
2020,Gucci,Watches,Europe,18043.84,8,144350.72,55+,Male,17024.41,45000,2.5,High,23307,4721,1929,0.83
2020,Louis Vuitton,Accessories,South America,351.32,55,19322.6,55+,Female,1300798.89,12000,5.5,Medium,47097,1741,1766,0.97
